iter	Logloss
0	0.5928749712
1	0.5386424688
2	0.4689753597
3	0.4179664996
4	0.3843529238
5	0.355228472
6	0.3305127633
7	0.314047223
8	0.2969949431
9	0.2842749419
10	0.2729850996
11	0.2633954228
12	0.2556523598
13	0.2479100835
14	0.2399491807
15	0.2345189556
16	0.226908499
17	0.2197457023
18	0.2147456201
19	0.2101109054
20	0.2075543983
21	0.2045606983
22	0.2009543143
23	0.1981740522
24	0.1968915186
25	0.1938788611
26	0.1916367781
27	0.1905951145
28	0.1875752158
29	0.1861967434
30	0.1845973757
31	0.1827125685
32	0.1815283975
33	0.1791095385
34	0.177848904
35	0.1766582586
36	0.175715906
37	0.1743927935
38	0.1728560739
39	0.1708981728
40	0.1697517172
41	0.1686052624
42	0.1674462166
43	0.1661040963
44	0.1651323043
45	0.1642099083
46	0.1636283615
47	0.1629014458
48	0.1622750609
49	0.1612447202
50	0.1601567674
51	0.1595134594
52	0.158847066
53	0.1580997279
54	0.1571349137
55	0.1565503843
56	0.1557638844
57	0.1552947582
58	0.1549636438
59	0.1544933188
60	0.153959119
61	0.1534530861
62	0.1528256729
63	0.152203338
64	0.1517513335
65	0.1514745371
66	0.1511632167
67	0.150387377
68	0.1499705142
69	0.1496688588
70	0.1491134376
71	0.1487715747
72	0.1483641957
73	0.1478262002
74	0.1474940876
75	0.1470542634
76	0.1465013427
77	0.1461557524
78	0.1459108332
79	0.1451137096
80	0.1446970576
81	0.144141512
82	0.14395338
83	0.1435173489
84	0.1431942716
85	0.1428768556
86	0.1425583197
87	0.1423122547
88	0.1419745493
89	0.1417767307
90	0.1413683279
91	0.1411701435
92	0.1409883429
93	0.1407495834
94	0.1404912706
95	0.1401737325
96	0.1399197348
97	0.1396669981
98	0.1394698345
99	0.1390348384
100	0.1386202529
101	0.138459029
102	0.1382466805
103	0.1379733171
104	0.1377072477
105	0.1374841686
106	0.1372924014
107	0.1370881301
108	0.1368817522
109	0.1366887081
110	0.136413025
111	0.1362072596
112	0.1359096119
113	0.1356743734
114	0.1353910436
115	0.1351896511
116	0.1349238392
117	0.1347252902
118	0.1345413217
119	0.1343021
120	0.1341398273
121	0.1338299515
122	0.1335642731
123	0.1332088876
124	0.1329530892
125	0.1327330655
126	0.132398804
127	0.1321375332
128	0.131850856
129	0.1316907201
130	0.131480276
131	0.1312998382
132	0.1311252196
133	0.1308790623
134	0.13075808
135	0.1306036236
136	0.130472915
137	0.1303177611
138	0.1301144215
139	0.1299188503
140	0.1296367011
141	0.1294739939
142	0.1293085189
143	0.1290959272
144	0.1288752023
145	0.1286284511
146	0.128431905
147	0.12821678
148	0.1280388237
149	0.127803549
150	0.1276759719
151	0.1274811987
152	0.127230614
153	0.1268499446
154	0.1266839261
155	0.1265026656
156	0.1263370463
157	0.1259825159
158	0.1257868374
159	0.1256504252
160	0.1255090998
161	0.1253419637
162	0.1251604413
163	0.1249577174
164	0.1247845135
165	0.1246029367
166	0.1244858691
167	0.1243243675
168	0.1242148086
169	0.1240534333
170	0.1238766662
171	0.123702645
172	0.1235357846
173	0.1234067497
174	0.1232633902
175	0.1230611677
176	0.1229429041
177	0.1228144596
178	0.1226752728
179	0.1224763987
180	0.1223686518
181	0.1222586664
182	0.1219427545
183	0.1217634039
184	0.1215764735
185	0.1214789953
186	0.1213079877
187	0.1211520458
188	0.121013082
189	0.1208959628
190	0.1207227548
191	0.1205997607
192	0.1204544604
193	0.1203587221
194	0.1202419605
195	0.1201397505
196	0.1200284882
197	0.1198679835
198	0.1197461988
199	0.119643942
200	0.1195606176
201	0.119428551
202	0.119281962
203	0.1191718213
204	0.1190515521
205	0.1189608605
206	0.1188457393
