iter	Passed	Remaining
0	32	15410
1	37	9009
2	44	7141
3	49	5928
4	53	5096
5	57	4545
6	62	4210
7	66	3896
8	69	3647
9	74	3484
10	78	3331
11	82	3211
12	85	3078
13	89	2968
14	92	2873
15	96	2804
16	100	2725
17	103	2666
18	107	2603
19	110	2551
20	114	2506
21	117	2456
22	121	2416
23	125	2383
24	129	2349
25	132	2313
26	136	2287
27	139	2255
28	144	2248
29	148	2220
30	151	2194
31	155	2171
32	158	2146
33	162	2125
34	165	2106
35	168	2083
36	172	2067
37	176	2048
38	179	2030
39	183	2014
40	186	1999
41	190	1984
42	193	1969
43	197	1953
44	200	1942
45	204	1931
46	208	1917
47	211	1906
48	215	1892
49	218	1881
50	222	1872
51	226	1862
52	230	1856
53	233	1844
54	237	1833
55	241	1829
56	245	1821
57	248	1809
58	251	1797
59	255	1789
60	258	1776
61	262	1766
62	265	1757
63	269	1750
64	272	1742
65	276	1735
66	280	1727
67	284	1720
68	287	1712
69	291	1704
70	294	1696
71	298	1688
72	301	1682
73	305	1674
74	308	1667
75	312	1659
76	315	1652
77	319	1644
78	322	1637
79	326	1630
80	329	1622
81	332	1615
82	336	1609
83	339	1602
84	343	1595
85	346	1589
86	350	1584
87	354	1578
88	358	1573
89	361	1566
90	364	1559
91	368	1553
92	371	1547
93	375	1541
94	378	1535
95	382	1530
96	386	1524
97	389	1518
98	392	1510
99	396	1504
100	399	1500
101	403	1494
102	406	1489
103	410	1483
104	413	1477
105	416	1471
106	420	1465
107	423	1459
108	426	1453
109	430	1447
110	433	1442
111	437	1437
112	440	1431
113	444	1425
114	447	1420
115	451	1415
116	454	1410
117	458	1405
118	461	1400
119	465	1395
120	468	1390
121	471	1384
122	475	1379
123	478	1374
124	482	1369
125	485	1364
126	489	1361
127	492	1355
128	496	1350
129	499	1345
130	502	1339
131	507	1337
132	510	1332
133	514	1327
134	517	1322
135	521	1318
136	524	1313
137	528	1309
138	532	1305
139	535	1300
140	539	1296
141	542	1292
142	546	1287
143	550	1283
144	553	1278
145	557	1274
146	560	1270
147	564	1265
148	567	1261
149	571	1256
150	574	1251
151	578	1248
152	582	1243
153	585	1239
154	589	1235
155	592	1230
156	596	1226
157	599	1222
158	603	1218
159	607	1214
160	610	1209
161	614	1205
162	617	1201
163	621	1198
164	625	1194
165	628	1189
166	632	1185
167	636	1181
168	639	1177
169	643	1173
170	647	1170
171	651	1166
172	655	1162
173	658	1158
174	662	1154
175	666	1150
176	669	1146
177	673	1142
178	676	1138
179	680	1134
180	684	1130
181	687	1125
182	691	1121
183	694	1117
184	697	1112
185	700	1107
186	704	1103
187	707	1099
188	711	1095
189	714	1091
190	718	1087
191	722	1083
192	725	1079
193	729	1075
194	733	1071
195	737	1067
196	740	1063
197	744	1060
198	747	1055
199	751	1052
200	754	1047
